ENSEMBL,ENTREZID,SYMBOL,GENENAME,CHR
ENSG00000100744,51527,GSKIP,GSK3B interacting protein,14
ENSG00000104381,54332,GDAP1,ganglioside induced differentiation associated protein 1,8
ENSG00000149781,83706,FERMT3,fermitin family member 3,11
ENSG00000133401,23037,PDZD2,PDZ domain containing 2,5
ENSG00000211445,2878,GPX3,glutathione peroxidase 3,5
ENSG00000067182,7132,TNFRSF1A,TNF receptor superfamily member 1A,12
ENSG00000130558,10439,OLFM1,olfactomedin 1,9
ENSG00000177432,266812,NAP1L5,nucleosome assembly protein 1 like 5,4
ENSG00000066557,55631,LRRC40,leucine rich repeat containing 40,1
ENSG00000166479,54495,TMX3,thioredoxin related transmembrane protein 3,18
ENSG00000198089,9814,SFI1,SFI1 centrin binding protein,22
ENSG00000141837,773,CACNA1A,calcium voltage-gated channel subunit alpha1 A,19
ENSG00000179134,55095,SAMD4B,sterile alpha motif domain containing 4B,19
ENSG00000108786,3292,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1,17
ENSG00000100519,5706,PSMC6,"proteasome 26S subunit, ATPase 6",14
ENSG00000143375,57530,CGN,cingulin,1
ENSG00000102471,54602,NDFIP2,Nedd4 family interacting protein 2,13
ENSG00000164919,1345,COX6C,cytochrome c oxidase subunit 6C,8
ENSG00000124205,1908,EDN3,endothelin 3,20
ENSG00000204103,9935,MAFB,MAF bZIP transcription factor B,20
ENSG00000143158,25874,MPC2,mitochondrial pyruvate carrier 2,1
ENSG00000147604,6129,RPL7,ribosomal protein L7,8
ENSG00000151006,339105,PRSS53,serine protease 53,16
ENSG00000159840,7791,ZYX,zyxin,7
ENSG00000015285,7454,WAS,WASP actin nucleation promoting factor,X
ENSG00000168653,4725,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,1
ENSG00000184634,9968,MED12,mediator complex subunit 12,X
ENSG00000011304,5725,PTBP1,polypyrimidine tract binding protein 1,19
ENSG00000144908,10840,ALDH1L1,aldehyde dehydrogenase 1 family member L1,3
ENSG00000153956,781,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,7
ENSG00000158815,8822,FGF17,fibroblast growth factor 17,8
ENSG00000146007,153527,ZMAT2,zinc finger matrin-type 2,5
ENSG00000172037,3913,LAMB2,laminin subunit beta 2,3
ENSG00000126822,26030,PLEKHG3,pleckstrin homology and RhoGEF domain containing G3,14
ENSG00000135002,55312,RFK,riboflavin kinase,9
ENSG00000204388,3304,HSPA1B,heat shock protein family A (Hsp70) member 1B,6
ENSG00000100292,3162,HMOX1,heme oxygenase 1,22
ENSG00000107438,9124,PDLIM1,PDZ and LIM domain 1,10
ENSG00000145692,635,BHMT,betaine--homocysteine S-methyltransferase,5
ENSG00000164403,134549,SHROOM1,shroom family member 1,5
ENSG00000080224,285220,EPHA6,EPH receptor A6,3
ENSG00000171951,7857,SCG2,secretogranin II,2
ENSG00000185736,105,ADARB2,adenosine deaminase RNA specific B2 (inactive),10
ENSG00000107738,64115,VSIR,V-set immunoregulatory receptor,10
ENSG00000167524,124923,RSKR,ribosomal protein S6 kinase related,17
ENSG00000139718,23067,SETD1B,"SET domain containing 1B, histone lysine methyltransferase",12
ENSG00000118308,4033,LRMP,lymphoid restricted membrane protein,12
ENSG00000064703,11218,DDX20,DEAD-box helicase 20,1
ENSG00000105357,79784,MYH14,myosin heavy chain 14,19
ENSG00000124172,514,ATP5F1E,ATP synthase F1 subunit epsilon,20
ENSG00000161638,3678,ITGA5,integrin subunit alpha 5,12
ENSG00000133872,51669,SARAF,store-operated calcium entry associated regulatory factor,8
ENSG00000005961,3674,ITGA2B,integrin subunit alpha 2b,17
ENSG00000127663,23030,KDM4B,lysine demethylase 4B,19
ENSG00000185829,51326,ARL17A,ADP ribosylation factor like GTPase 17A,17
ENSG00000172020,2596,GAP43,growth associated protein 43,3
ENSG00000167615,114823,LENG8,leukocyte receptor cluster member 8,19
ENSG00000100842,10278,EFS,embryonal Fyn-associated substrate,14
ENSG00000119681,4053,LTBP2,latent transforming growth factor beta binding protein 2,14
ENSG00000078814,57644,MYH7B,myosin heavy chain 7B,20
ENSG00000073060,949,SCARB1,scavenger receptor class B member 1,12
ENSG00000160789,4000,LMNA,lamin A/C,1
ENSG00000135241,50640,PNPLA8,patatin like phospholipase domain containing 8,7
ENSG00000108798,51225,ABI3,ABI family member 3,17
ENSG00000164877,79778,MICALL2,MICAL like 2,7
ENSG00000150667,161835,FSIP1,fibrous sheath interacting protein 1,15
ENSG00000182871,80781,COL18A1,collagen type XVIII alpha 1 chain,21
ENSG00000203485,64423,INF2,"inverted formin, FH2 and WH2 domain containing",14
ENSG00000106948,80709,AKNA,AT-hook transcription factor,9
ENSG00000130475,23149,FCHO1,FCH and mu domain containing endocytic adaptor 1,19
ENSG00000154174,9868,TOMM70,translocase of outer mitochondrial membrane 70,3
ENSG00000138430,29789,OLA1,Obg like ATPase 1,2
ENSG00000159314,201176,ARHGAP27,Rho GTPase activating protein 27,17
ENSG00000196839,100,ADA,adenosine deaminase,20
ENSG00000169021,7386,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",19
ENSG00000131095,2670,GFAP,glial fibrillary acidic protein,17
ENSG00000156735,9530,BAG4,BCL2 associated athanogene 4,8
ENSG00000108175,57178,ZMIZ1,zinc finger MIZ-type containing 1,10
ENSG00000266074,57597,BAHCC1,BAH domain and coiled-coil containing 1,17
ENSG00000151208,9231,DLG5,discs large MAGUK scaffold protein 5,10
ENSG00000109270,8649,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",4
ENSG00000060138,8531,YBX3,Y-box binding protein 3,12
ENSG00000172005,4118,MAL,"mal, T cell differentiation protein",2
ENSG00000003987,9108,MTMR7,myotubularin related protein 7,8
ENSG00000198791,29883,CNOT7,CCR4-NOT transcription complex subunit 7,8
ENSG00000114405,57415,C3orf14,chromosome 3 open reading frame 14,3
ENSG00000136521,4711,NDUFB5,NADH:ubiquinone oxidoreductase subunit B5,3
ENSG00000103089,79152,FA2H,fatty acid 2-hydroxylase,16
ENSG00000148481,80013,MINDY3,MINDY lysine 48 deubiquitinase 3,10
ENSG00000214402,401562,LCNL1,lipocalin like 1,9
ENSG00000163638,56999,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,3
ENSG00000198843,51714,SELENOT,selenoprotein T,3
ENSG00000168874,84913,ATOH8,atonal bHLH transcription factor 8,2
ENSG00000092295,7051,TGM1,transglutaminase 1,14
ENSG00000164332,134510,UBLCP1,ubiquitin like domain containing CTD phosphatase 1,5
ENSG00000129625,7905,REEP5,receptor accessory protein 5,5
ENSG00000183648,4707,NDUFB1,NADH:ubiquinone oxidoreductase subunit B1,14
ENSG00000183255,754,PTTG1IP,PTTG1 interacting protein,21
ENSG00000103184,9717,SEC14L5,SEC14 like lipid binding 5,16
ENSG00000186010,51079,NDUFA13,NADH:ubiquinone oxidoreductase subunit A13,19
ENSG00000136143,8803,SUCLA2,succinate-CoA ligase ADP-forming beta subunit,13
ENSG00000158859,9507,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,1
ENSG00000181409,9625,AATK,apoptosis associated tyrosine kinase,17
ENSG00000013293,57709,SLC7A14,solute carrier family 7 member 14,3
ENSG00000026025,7431,VIM,vimentin,10
ENSG00000164867,4846,NOS3,nitric oxide synthase 3,7
ENSG00000121766,51538,ZCCHC17,zinc finger CCHC-type containing 17,1
ENSG00000203747,2214,FCGR3A,Fc fragment of IgG receptor IIIa,1
ENSG00000165678,27069,GHITM,growth hormone inducible transmembrane protein,10
ENSG00000166226,10576,CCT2,chaperonin containing TCP1 subunit 2,12
ENSG00000137507,2615,LRRC32,leucine rich repeat containing 32,11
ENSG00000146535,2768,GNA12,G protein subunit alpha 12,7
ENSG00000104320,4683,NBN,nibrin,8
ENSG00000135596,64780,MICAL1,"microtubule associated monooxygenase, calponin and LIM domain containing 1",6
ENSG00000213199,9311,ASIC3,acid sensing ion channel subunit 3,7
ENSG00000130589,85441,HELZ2,helicase with zinc finger 2,20
ENSG00000127124,59269,HIVEP3,HIVEP zinc finger 3,1
ENSG00000157502,139221,PWWP3B,PWWP domain containing 3B,X
ENSG00000214193,79729,SH3D21,SH3 domain containing 21,1
ENSG00000174173,54931,TRMT10C,"tRNA methyltransferase 10C, mitochondrial RNase P subunit",3
ENSG00000148175,2040,STOM,stomatin,9
ENSG00000125870,6629,SNRPB2,small nuclear ribonucleoprotein polypeptide B2,20
ENSG00000165629,509,ATP5F1C,ATP synthase F1 subunit gamma,10
ENSG00000103769,8766,RAB11A,"RAB11A, member RAS oncogene family",15
ENSG00000150337,2209,FCGR1A,Fc fragment of IgG receptor Ia,1
ENSG00000188612,6613,SUMO2,small ubiquitin like modifier 2,17
ENSG00000157005,6750,SST,somatostatin,3
ENSG00000105695,4099,MAG,myelin associated glycoprotein,19
ENSG00000183662,407738,TAFA1,TAFA chemokine like family member 1,3
ENSG00000130303,684,BST2,bone marrow stromal cell antigen 2,19
ENSG00000004897,996,CDC27,cell division cycle 27,17
ENSG00000067715,6857,SYT1,synaptotagmin 1,12
ENSG00000172508,57571,CARNS1,carnosine synthase 1,11
ENSG00000188493,284325,C19orf54,chromosome 19 open reading frame 54,19
ENSG00000140443,3480,IGF1R,insulin like growth factor 1 receptor,15
ENSG00000136750,2572,GAD2,glutamate decarboxylase 2,10
ENSG00000073350,3993,LLGL2,LLGL scribble cell polarity complex component 2,17
ENSG00000115091,10096,ACTR3,actin related protein 3,2
ENSG00000064726,53339,BTBD1,BTB domain containing 1,15
ENSG00000104435,11075,STMN2,stathmin 2,8
ENSG00000214652,442319,ZNF727,zinc finger protein 727,7
ENSG00000127418,53834,FGFRL1,fibroblast growth factor receptor like 1,4
ENSG00000122420,5737,PTGFR,prostaglandin F receptor,1
ENSG00000151552,5860,QDPR,quinoid dihydropteridine reductase,4
ENSG00000068724,57217,TTC7A,tetratricopeptide repeat domain 7A,2
ENSG00000178605,8225,GTPBP6,GTP binding protein 6 (putative),X
ENSG00000115252,5136,PDE1A,phosphodiesterase 1A,2
ENSG00000104723,7991,TUSC3,tumor suppressor candidate 3,8
ENSG00000108773,2648,KAT2A,lysine acetyltransferase 2A,17
ENSG00000134265,8774,NAPG,NSF attachment protein gamma,18
ENSG00000188133,401498,TMEM215,transmembrane protein 215,9
ENSG00000047315,5431,POLR2B,RNA polymerase II subunit B,4
ENSG00000172575,10125,RASGRP1,RAS guanyl releasing protein 1,15
ENSG00000162496,9249,DHRS3,dehydrogenase/reductase 3,1
ENSG00000182240,25825,BACE2,beta-secretase 2,21
ENSG00000146192,221472,FGD2,"FYVE, RhoGEF and PH domain containing 2",6
ENSG00000072952,10335,MRVI1,murine retrovirus integration site 1 homolog,11
ENSG00000128283,11135,CDC42EP1,CDC42 effector protein 1,22
ENSG00000188674,389073,C2orf80,chromosome 2 open reading frame 80,2
ENSG00000168758,54910,SEMA4C,semaphorin 4C,2
ENSG00000198198,23334,SZT2,SZT2 subunit of KICSTOR complex,1
ENSG00000285589,NA,NA,NA,NA
ENSG00000119013,4709,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,2
ENSG00000105221,208,AKT2,AKT serine/threonine kinase 2,19
ENSG00000146386,58527,ABRACL,ABRA C-terminal like,6
ENSG00000196547,4122,MAN2A2,mannosidase alpha class 2A member 2,15
ENSG00000128656,1123,CHN1,chimerin 1,2
ENSG00000141959,5211,PFKL,"phosphofructokinase, liver type",21
ENSG00000085365,9522,SCAMP1,secretory carrier membrane protein 1,5
ENSG00000132341,5901,RAN,"RAN, member RAS oncogene family",12
ENSG00000204592,3133,HLA-E,"major histocompatibility complex, class I, E",6
ENSG00000171163,55657,ZNF692,zinc finger protein 692,1
ENSG00000167191,51704,GPRC5B,G protein-coupled receptor class C group 5 member B,16
ENSG00000178971,80169,CTC1,CST telomere replication complex component 1,17
ENSG00000184988,113277,TMEM106A,transmembrane protein 106A,17
ENSG00000141526,9123,SLC16A3,solute carrier family 16 member 3,17
ENSG00000151834,2555,GABRA2,gamma-aminobutyric acid type A receptor alpha2 subunit,4
ENSG00000079337,10411,RAPGEF3,Rap guanine nucleotide exchange factor 3,12
ENSG00000115947,5000,ORC4,origin recognition complex subunit 4,2
ENSG00000160209,8566,PDXK,pyridoxal kinase,21
ENSG00000132639,6616,SNAP25,synaptosome associated protein 25,20
ENSG00000147669,5440,POLR2K,RNA polymerase II subunit K,8
ENSG00000171368,11076,TPPP,tubulin polymerization promoting protein,5
ENSG00000189319,9679,FAM53B,family with sequence similarity 53 member B,10
ENSG00000012171,7869,SEMA3B,semaphorin 3B,3
ENSG00000103257,8140,SLC7A5,solute carrier family 7 member 5,16
ENSG00000198898,830,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,7
ENSG00000137266,63027,SLC22A23,solute carrier family 22 member 23,6
ENSG00000146151,54511,HMGCLL1,3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1,6
ENSG00000151917,221336,BEND6,BEN domain containing 6,6
ENSG00000169564,5093,PCBP1,poly(rC) binding protein 1,2
ENSG00000127125,79717,PPCS,phosphopantothenoylcysteine synthetase,1
ENSG00000162687,343450,KCNT2,potassium sodium-activated channel subfamily T member 2,1
ENSG00000183888,149563,SRARP,steroid receptor associated and regulated protein,1
ENSG00000234745,3106,HLA-B,"major histocompatibility complex, class I, B",6
ENSG00000117643,57134,MAN1C1,mannosidase alpha class 1C member 1,1
ENSG00000166987,114785,MBD6,methyl-CpG binding domain protein 6,12
ENSG00000133134,84707,BEX2,brain expressed X-linked 2,X
ENSG00000107249,169792,GLIS3,GLIS family zinc finger 3,9
ENSG00000001617,6405,SEMA3F,semaphorin 3F,3
ENSG00000204673,84335,AKT1S1,AKT1 substrate 1,19
ENSG00000005339,1387,CREBBP,CREB binding protein,16
ENSG00000140464,5371,PML,promyelocytic leukemia,15
ENSG00000167566,57701,NCKAP5L,NCK associated protein 5 like,12
ENSG00000120896,10174,SORBS3,sorbin and SH3 domain containing 3,8
ENSG00000164484,114801,TMEM200A,transmembrane protein 200A,6
ENSG00000137166,116113,FOXP4,forkhead box P4,6
ENSG00000083937,25978,CHMP2B,charged multivesicular body protein 2B,3
ENSG00000175084,1674,DES,desmin,2
ENSG00000085185,63035,BCORL1,BCL6 corepressor like 1,X
ENSG00000165669,63877,FAM204A,family with sequence similarity 204 member A,10
ENSG00000197355,91373,UAP1L1,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1,9
ENSG00000187796,64170,CARD9,caspase recruitment domain family member 9,9
ENSG00000103035,5713,PSMD7,"proteasome 26S subunit, non-ATPase 7",16
ENSG00000117676,6195,RPS6KA1,ribosomal protein S6 kinase A1,1
ENSG00000128274,53947,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",22
ENSG00000099326,7593,MZF1,myeloid zinc finger 1,19
ENSG00000164258,4724,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,5
ENSG00000156030,91748,ELMSAN1,ELM2 and Myb/SANT domain containing 1,14
ENSG00000092529,825,CAPN3,calpain 3,15
ENSG00000152219,120534,ARL14EP,ADP ribosylation factor like GTPase 14 effector protein,11
ENSG00000182220,10159,ATP6AP2,ATPase H+ transporting accessory protein 2,X
ENSG00000125827,56255,TMX4,thioredoxin related transmembrane protein 4,20
ENSG00000122873,55847,CISD1,CDGSH iron sulfur domain 1,10
ENSG00000112695,1347,COX7A2,cytochrome c oxidase subunit 7A2,6
ENSG00000119125,9615,GDA,guanine deaminase,9
ENSG00000154134,64221,ROBO3,roundabout guidance receptor 3,11
ENSG00000135063,9413,FAM189A2,family with sequence similarity 189 member A2,9
ENSG00000132702,60484,HAPLN2,hyaluronan and proteoglycan link protein 2,1
ENSG00000104164,26258,BLOC1S6,biogenesis of lysosomal organelles complex 1 subunit 6,15
ENSG00000204899,440145,MZT1,mitotic spindle organizing protein 1,13
ENSG00000166275,119032,BORCS7,BLOC-1 related complex subunit 7,10
ENSG00000179344,3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",6
ENSG00000121769,2170,FABP3,fatty acid binding protein 3,1
ENSG00000158710,8407,TAGLN2,transgelin 2,1
ENSG00000106665,7461,CLIP2,CAP-Gly domain containing linker protein 2,7
ENSG00000223865,3115,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",6
ENSG00000160741,200186,CRTC2,CREB regulated transcription coactivator 2,1
ENSG00000213654,63940,GPSM3,G protein signaling modulator 3,6
ENSG00000135070,81689,ISCA1,iron-sulfur cluster assembly 1,9
ENSG00000101132,5203,PFDN4,prefoldin subunit 4,20
ENSG00000108395,4591,TRIM37,tripartite motif containing 37,17
ENSG00000188419,1121,CHM,CHM Rab escort protein,X
ENSG00000160352,148206,ZNF714,zinc finger protein 714,19
ENSG00000130304,376497,SLC27A1,solute carrier family 27 member 1,19
ENSG00000105373,29997,NOP53,NOP53 ribosome biogenesis factor,19
ENSG00000143153,481,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,1
ENSG00000168209,54541,DDIT4,DNA damage inducible transcript 4,10
ENSG00000104881,10848,PPP1R13L,protein phosphatase 1 regulatory subunit 13 like,19
ENSG00000101856,10857,PGRMC1,progesterone receptor membrane component 1,X
ENSG00000214194,401397,SMIM30,small integral membrane protein 30,7
ENSG00000101977,4168,MCF2,MCF.2 cell line derived transforming sequence,X
ENSG00000017427,3479,IGF1,insulin like growth factor 1,12
ENSG00000134440,4677,NARS1,asparaginyl-tRNA synthetase 1,18
ENSG00000213694,1903,S1PR3,sphingosine-1-phosphate receptor 3,9
ENSG00000065361,2065,ERBB3,erb-b2 receptor tyrosine kinase 3,12
ENSG00000076201,25930,PTPN23,protein tyrosine phosphatase non-receptor type 23,3
ENSG00000103742,57722,IGDCC4,immunoglobulin superfamily DCC subclass member 4,15
ENSG00000111530,55832,CAND1,cullin associated and neddylation dissociated 1,12
ENSG00000172725,57175,CORO1B,coronin 1B,11
ENSG00000157933,6497,SKI,SKI proto-oncogene,1
ENSG00000112561,7942,TFEB,transcription factor EB,6
ENSG00000221968,3995,FADS3,fatty acid desaturase 3,11
ENSG00000161021,9794,MAML1,mastermind like transcriptional coactivator 1,5
ENSG00000033867,9497,SLC4A7,solute carrier family 4 member 7,3
ENSG00000196159,79633,FAT4,FAT atypical cadherin 4,4
ENSG00000137040,26953,RANBP6,RAN binding protein 6,9
ENSG00000120251,2891,GRIA2,glutamate ionotropic receptor AMPA type subunit 2,4
ENSG00000104946,79735,TBC1D17,TBC1 domain family member 17,19
ENSG00000163191,6282,S100A11,S100 calcium binding protein A11,1
ENSG00000165832,142940,TRUB1,TruB pseudouridine synthase family member 1,10
ENSG00000184985,57537,SORCS2,sortilin related VPS10 domain containing receptor 2,4
ENSG00000173918,114897,C1QTNF1,C1q and TNF related 1,17
ENSG00000166503,50810,HDGFL3,HDGF like 3,15
ENSG00000143155,261726,TIPRL,TOR signaling pathway regulator,1
ENSG00000244731,720,C4A,complement C4A (Rodgers blood group),6
ENSG00000148337,25792,CIZ1,CDKN1A interacting zinc finger protein 1,9
ENSG00000064687,10347,ABCA7,ATP binding cassette subfamily A member 7,19
ENSG00000105329,7040,TGFB1,transforming growth factor beta 1,19
ENSG00000179094,5187,PER1,period circadian regulator 1,17
ENSG00000151743,196394,AMN1,antagonist of mitotic exit network 1 homolog,12
ENSG00000142611,63976,PRDM16,PR/SET domain 16,1
ENSG00000274276,102724560,CBSL,cystathionine beta-synthase like,21
ENSG00000168610,6774,STAT3,signal transducer and activator of transcription 3,17
ENSG00000124767,2739,GLO1,glyoxalase I,6
ENSG00000143013,8543,LMO4,LIM domain only 4,1
ENSG00000163703,78987,CRELD1,cysteine rich with EGF like domains 1,3
ENSG00000187091,5333,PLCD1,phospholipase C delta 1,3
ENSG00000188729,344901,OSTN,osteocrin,3
ENSG00000167306,4645,MYO5B,myosin VB,18
ENSG00000173530,8793,TNFRSF10D,TNF receptor superfamily member 10d,8
ENSG00000151247,1977,EIF4E,eukaryotic translation initiation factor 4E,4
ENSG00000075945,22920,KIFAP3,kinesin associated protein 3,1
ENSG00000139116,55605,KIF21A,kinesin family member 21A,12
ENSG00000147180,7552,ZNF711,zinc finger protein 711,X
ENSG00000116016,2034,EPAS1,endothelial PAS domain protein 1,2
ENSG00000166123,84706,GPT2,glutamic--pyruvic transaminase 2,16
ENSG00000106991,2022,ENG,endoglin,9
ENSG00000186174,283149,BCL9L,BCL9 like,11
ENSG00000186310,4675,NAP1L3,nucleosome assembly protein 1 like 3,X
ENSG00000113643,5917,RARS1,arginyl-tRNA synthetase 1,5
ENSG00000163820,79443,FYCO1,FYVE and coiled-coil domain containing 1,3
ENSG00000068912,27248,ERLEC1,endoplasmic reticulum lectin 1,2
ENSG00000168288,27249,MMADHC,metabolism of cobalamin associated D,2
ENSG00000005844,3683,ITGAL,integrin subunit alpha L,16
ENSG00000146122,23500,DAAM2,dishevelled associated activator of morphogenesis 2,6
ENSG00000078018,4133,MAP2,microtubule associated protein 2,2
ENSG00000102057,3750,KCND1,potassium voltage-gated channel subfamily D member 1,X
ENSG00000144290,57282,SLC4A10,solute carrier family 4 member 10,2
ENSG00000142627,1969,EPHA2,EPH receptor A2,1
ENSG00000239672,4830,NME1,NME/NM23 nucleoside diphosphate kinase 1,17
ENSG00000166266,8065,CUL5,cullin 5,11
ENSG00000167005,11051,NUDT21,nudix hydrolase 21,16
ENSG00000198420,9747,TCAF1,TRPM8 channel associated factor 1,7
